shape_field,rank,shape,count,share,cum_share,book,level
shape_PA,48,P6_A4,9,0.00200222,0.96195773,numbers,minor
shape_PA,49,P15_A7,8,0.00177976,0.96373749,numbers,minor
shape_PA,50,P18_A6,8,0.00177976,0.96551724,numbers,minor
bucket_PA,1,P7-9_A3,911,0.20266963,0.20266963,numbers,minor
bucket_PA,2,P5-6_A2,608,0.1352614,0.33793103,numbers,minor
bucket_PA,3,P10-12_A4,429,0.09543938,0.43337041,numbers,minor
bucket_PA,4,P5-6_A3,370,0.08231368,0.51568409,numbers,minor
bucket_PA,5,P7-9_A2,344,0.07652948,0.59221357,numbers,minor
bucket_PA,6,P1-4_A0-1,343,0.07630701,0.66852058,numbers,minor
bucket_PA,7,P7-9_A4,299,0.06651835,0.73503893,numbers,minor
bucket_PA,8,P1-4_A2,195,0.04338154,0.77842047,numbers,minor
bucket_PA,9,P10-12_A5,174,0.03870968,0.81713014,numbers,minor
bucket_PA,10,P10-12_A3,170,0.0378198,0.85494994,numbers,minor
bucket_PA,11,P13-15_A5,141,0.03136819,0.88631813,numbers,minor
bucket_PA,12,P13-15_A6-7,124,0.02758621,0.91390434,numbers,minor
bucket_PA,13,P16-18_A6-7,75,0.01668521,0.93058954,numbers,minor
bucket_PA,14,P13-15_A4,67,0.01490545,0.94549499,numbers,minor
bucket_PA,15,P19-24_A8+,53,0.01179088,0.95728587,numbers,minor
bucket_PA,16,P25+_A8+,25,0.00556174,0.96284761,numbers,minor
bucket_PA,17,P1-4_A3,24,0.00533927,0.96818687,numbers,minor
bucket_PA,18,P19-24_A6-7,20,0.00444939,0.97263626,numbers,minor
bucket_PA,19,P7-9_A5,19,0.00422692,0.97686318,numbers,minor
bucket_PA,20,P5-6_A0-1,18,0.00400445,0.98086763,numbers,minor
bucket_PA,21,P10-12_A6-7,17,0.00378198,0.98464961,numbers,minor
bucket_PA,22,P16-18_A5,15,0.00333704,0.98798665,numbers,minor
bucket_PA,23,P5-6_A4,13,0.0028921,0.99087875,numbers,minor
bucket_PA,24,P16-18_A4,11,0.00244716,0.99332592,numbers,minor
bucket_PA,25,P16-18_A8+,10,0.00222469,0.99555061,numbers,minor
bucket_PA,26,P10-12_A2,6,0.00133482,0.99688543,numbers,minor
bucket_PA,27,P25+_A6-7,6,0.00133482,0.99822024,numbers,minor
bucket_PA,28,P13-15_A3,3,0.00066741,0.99888765,numbers,minor
bucket_PA,29,P7-9_A6-7,2,0.00044494,0.99933259,numbers,minor
bucket_PA,30,P19-24_A5,2,0.00044494,0.99977753,numbers,minor
bucket_PA,31,P1-4_A4,1,0.00022247,1.0,numbers,minor
shape_PAW,1,P7_A3_W3,255,0.0567297,0.0567297,numbers,minor
shape_PAW,2,P5_A2_W2,227,0.05050056,0.10723026,numbers,minor
shape_PAW,3,P6_A3_W3,215,0.04783092,0.15506118,numbers,minor
shape_PAW,4,P6_A2_W2,214,0.04760845,0.20266963,numbers,minor
shape_PAW,5,P8_A3_W3,188,0.04182425,0.24449388,numbers,minor
shape_PAW,6,P3_A1_W1,148,0.03292547,0.27741935,numbers,minor
shape_PAW,7,P8_A3_W4,136,0.03025584,0.30767519,numbers,minor
shape_PAW,8,P7_A2_W2,136,0.03025584,0.33793103,numbers,minor
shape_PAW,9,P4_A2_W2,131,0.02914349,0.36707453,numbers,minor
shape_PAW,10,P9_A4_W4,110,0.02447164,0.39154616,numbers,minor
shape_PAW,11,P7_A3_W4,110,0.02447164,0.4160178,numbers,minor
shape_PAW,12,P10_A4_W4,107,0.02380423,0.43982202,numbers,minor
shape_PAW,13,P9_A3_W3,103,0.02291435,0.46273637,numbers,minor
shape_PAW,14,P5_A3_W3,99,0.02202447,0.48476085,numbers,minor
shape_PAW,15,P2_A1_W1,98,0.021802,0.50656285,numbers,minor
shape_PAW,16,P9_A3_W4,94,0.02091212,0.52747497,numbers,minor
shape_PAW,17,P11_A4_W5,92,0.02046719,0.54794216,numbers,minor
shape_PAW,18,P7_A2_W3,89,0.01979978,0.56774194,numbers,minor
shape_PAW,19,P6_A2_W3,82,0.01824249,0.58598443,numbers,minor
shape_PAW,20,P5_A2_W3,78,0.01735261,0.60333704,numbers,minor
shape_PAW,21,P10_A4_W5,69,0.01535039,0.61868743,numbers,minor
shape_PAW,22,P8_A4_W4,69,0.01535039,0.63403782,numbers,minor
shape_PAW,23,P11_A4_W4,59,0.0131257,0.64716352,numbers,minor
shape_PAW,24,P9_A4_W5,54,0.01201335,0.65917686,numbers,minor
shape_PAW,25,P10_A3_W4,53,0.01179088,0.67096774,numbers,minor
shape_PAW,26,P6_A3_W4,48,0.01067853,0.68164627,numbers,minor
shape_PAW,27,P12_A5_W5,47,0.01045606,0.69210234,numbers,minor
shape_PAW,28,P10_A3_W3,45,0.01001112,0.70211346,numbers,minor
shape_PAW,29,P3_A2_W2,43,0.00956618,0.71167964,numbers,minor
shape_PAW,30,P8_A2_W2,42,0.00934372,0.72102336,numbers,minor
shape_PAW,31,P7_A4_W4,40,0.00889878,0.72992214,numbers,minor
shape_PAW,32,P11_A5_W5,38,0.00845384,0.73837597,numbers,minor
shape_PAW,33,P8_A2_W3,35,0.00778643,0.7461624,numbers,minor
shape_PAW,34,P4_A1_W1,35,0.00778643,0.75394883,numbers,minor
shape_PAW,35,P13_A5_W5,35,0.00778643,0.76173526,numbers,minor
shape_PAW,36,P1_A1_W1,34,0.00756396,0.76929922,numbers,minor
shape_PAW,37,P12_A4_W4,32,0.00711902,0.77641824,numbers,minor
shape_PAW,38,P10_A5_W5,31,0.00689655,0.78331479,numbers,minor
shape_PAW,39,P12_A4_W5,31,0.00689655,0.79021135,numbers,minor
shape_PAW,40,P14_A5_W5,28,0.00622914,0.79644049,numbers,minor
shape_PAW,41,P14_A6_W6,28,0.00622914,0.80266963,numbers,minor
shape_PAW,42,P12_A5_W6,28,0.00622914,0.80889878,numbers,minor
shape_PAW,43,P14_A6_W7,22,0.00489433,0.8137931,numbers,minor
shape_PAW,44,P11_A5_W6,20,0.00444939,0.81824249,numbers,minor
shape_PAW,45,P13_A5_W6,20,0.00444939,0.82269188,numbers,minor
shape_PAW,46,P13_A6_W6,20,0.00444939,0.82714127,numbers,minor
shape_PAW,47,P4_A3_W3,19,0.00422692,0.83136819,numbers,minor
shape_PAW,48,P10_A3_W5,18,0.00400445,0.83537264,numbers,minor
shape_PAW,49,P14_A5_W6,18,0.00400445,0.83937709,numbers,minor
shape_PAW,50,P4_A2_W3,16,0.00355951,0.8429366,numbers,minor
bucket_PAW,1,P7-9_A3_W3-4,886,0.1971079,0.1971079,numbers,minor
bucket_PAW,2,P5-6_A2_W1-2,441,0.09810901,0.29521691,numbers,minor
bucket_PAW,3,P5-6_A3_W3-4,369,0.08209121,0.37730812,numbers,minor
bucket_PAW,4,P1-4_A0-1_W1-2,343,0.07630701,0.45361513,numbers,minor
bucket_PAW,5,P10-12_A4_W5-6,228,0.05072303,0.50433815,numbers,minor
bucket_PAW,6,P7-9_A4_W3-4,219,0.0487208,0.55305895,numbers,minor
bucket_PAW,7,P10-12_A4_W3-4,198,0.04404894,0.5971079,numbers,minor
bucket_PAW,8,P7-9_A2_W1-2,187,0.04160178,0.63870968,numbers,minor
bucket_PAW,9,P1-4_A2_W1-2,177,0.03937709,0.67808676,numbers,minor
bucket_PAW,10,P10-12_A5_W5-6,171,0.03804227,0.71612903,numbers,minor
bucket_PAW,11,P5-6_A2_W3-4,167,0.03715239,0.75328142,numbers,minor
bucket_PAW,12,P7-9_A2_W3-4,155,0.03448276,0.78776418,numbers,minor
bucket_PAW,13,P10-12_A3_W3-4,136,0.03025584,0.81802002,numbers,minor
bucket_PAW,14,P13-15_A5_W5-6,119,0.02647386,0.84449388,numbers,minor
bucket_PAW,15,P7-9_A4_W5-6,80,0.01779755,0.86229143,numbers,minor
bucket_PAW,16,P13-15_A6-7_W7-8,65,0.01446051,0.87675195,numbers,minor
bucket_PAW,17,P13-15_A6-7_W5-6,58,0.01290323,0.88965517,numbers,minor
bucket_PAW,18,P16-18_A6-7_W7-8,57,0.01268076,0.90233593,numbers,minor
bucket_PAW,19,P19-24_A8+_W9-12,35,0.00778643,0.91012236,numbers,minor
bucket_PAW,20,P10-12_A3_W5-6,34,0.00756396,0.91768632,numbers,minor
bucket_PAW,21,P13-15_A4_W5-6,30,0.00667408,0.9243604,numbers,minor
bucket_PAW,22,P13-15_A4_W3-4,30,0.00667408,0.93103448,numbers,minor
bucket_PAW,23,P7-9_A3_W5-6,25,0.00556174,0.93659622,numbers,minor
bucket_PAW,24,P1-4_A3_W3-4,24,0.00533927,0.94193548,numbers,minor
bucket_PAW,25,P13-15_A5_W7-8,21,0.00467186,0.94660734,numbers,minor
bucket_PAW,26,P7-9_A5_W5-6,19,0.00422692,0.95083426,numbers,minor
bucket_PAW,27,P25+_A8+_W9-12,18,0.00400445,0.95483871,numbers,minor
bucket_PAW,28,P1-4_A2_W3-4,18,0.00400445,0.95884316,numbers,minor
bucket_PAW,29,P5-6_A0-1_W1-2,18,0.00400445,0.96284761,numbers,minor
bucket_PAW,30,P19-24_A8+_W7-8,17,0.00378198,0.96662959,numbers,minor
bucket_PAW,31,P16-18_A6-7_W5-6,14,0.00311457,0.96974416,numbers,minor
bucket_PAW,32,P5-6_A4_W3-4,13,0.0028921,0.97263626,numbers,minor
bucket_PAW,33,P19-24_A6-7_W7-8,12,0.00266963,0.9753059,numbers,minor
bucket_PAW,34,P16-18_A8+_W9-12,10,0.00222469,0.97753059,numbers,minor
bucket_PAW,35,P16-18_A5_W5-6,9,0.00200222,0.97953281,numbers,minor
bucket_PAW,36,P10-12_A6-7_W5-6,9,0.00200222,0.98153504,numbers,minor
bucket_PAW,37,P10-12_A6-7_W7-8,8,0.00177976,0.98331479,numbers,minor
bucket_PAW,38,P16-18_A4_W5-6,8,0.00177976,0.98509455,numbers,minor
bucket_PAW,39,P19-24_A6-7_W9-12,7,0.00155729,0.98665184,numbers,minor
bucket_PAW,40,P13-15_A4_W7-8,7,0.00155729,0.98820912,numbers,minor
bucket_PAW,41,P25+_A8+_W13+,6,0.00133482,0.98954394,numbers,minor
bucket_PAW,42,P25+_A6-7_W7-8,6,0.00133482,0.99087875,numbers,minor
bucket_PAW,43,P16-18_A5_W7-8,5,0.00111235,0.9919911,numbers,minor
bucket_PAW,44,P10-12_A2_W3-4,4,0.00088988,0.99288098,numbers,minor
bucket_PAW,45,P16-18_A6-7_W9-12,4,0.00088988,0.99377086,numbers,minor
bucket_PAW,46,P10-12_A4_W7-8,3,0.00066741,0.99443826,numbers,minor
bucket_PAW,47,P10-12_A5_W7-8,3,0.00066741,0.99510567,numbers,minor
bucket_PAW,48,P16-18_A4_W7-8,2,0.00044494,0.99555061,numbers,minor
bucket_PAW,49,P7-9_A2_W5-6,2,0.00044494,0.99599555,numbers,minor
bucket_PAW,50,P13-15_A3_W5-6,2,0.00044494,0.99644049,numbers,minor
shape_PA,1,P11_A4,110,0.04517454,0.04517454,numbers,major
shape_PA,2,P8_A3,81,0.03326489,0.07843943,numbers,major
shape_PA,3,P9_A3,79,0.03244353,0.11088296,numbers,major
shape_PA,4,P12_A5,74,0.03039014,0.1412731,numbers,major
shape_PA,5,P10_A4,71,0.02915811,0.17043121,numbers,major
shape_PA,6,P10_A3,64,0.02628337,0.19671458,numbers,major
shape_PA,7,P15_A6,64,0.02628337,0.22299795,numbers,major
shape_PA,8,P14_A5,62,0.02546201,0.24845996,numbers,major
shape_PA,9,P7_A3,62,0.02546201,0.27392197,numbers,major
shape_PA,10,P6_A2,57,0.02340862,0.2973306,numbers,major
shape_PA,11,P14_A6,55,0.02258727,0.31991786,numbers,major
shape_PA,12,P7_A2,53,0.02176591,0.34168378,numbers,major
shape_PA,13,P11_A5,50,0.02053388,0.36221766,numbers,major
shape_PA,14,P13_A5,49,0.0201232,0.38234086,numbers,major
shape_PA,15,P16_A6,43,0.01765914,0.4,numbers,major
shape_PA,16,P5_A2,43,0.01765914,0.41765914,numbers,major
shape_PA,17,P17_A7,42,0.01724846,0.4349076,numbers,major
shape_PA,18,P13_A6,42,0.01724846,0.45215606,numbers,major
shape_PA,19,P12_A4,39,0.01601643,0.46817248,numbers,major
shape_PA,20,P10_A5,37,0.01519507,0.48336756,numbers,major
shape_PA,21,P9_A4,37,0.01519507,0.49856263,numbers,major
shape_PA,22,P18_A7,37,0.01519507,0.5137577,numbers,major
shape_PA,23,P17_A6,36,0.01478439,0.52854209,numbers,major
shape_PA,24,P15_A5,35,0.01437372,0.54291581,numbers,major
shape_PA,25,P13_A4,34,0.01396304,0.55687885,numbers,major
shape_PA,26,P8_A4,34,0.01396304,0.57084189,numbers,major
shape_PA,27,P8_A2,34,0.01396304,0.58480493,numbers,major
shape_PA,28,P6_A3,33,0.01355236,0.59835729,numbers,major
shape_PA,29,P16_A7,28,0.01149897,0.60985626,numbers,major
shape_PA,30,P20_A9,24,0.00985626,0.61971253,numbers,major
shape_PA,31,P20_A8,23,0.00944559,0.62915811,numbers,major
shape_PA,32,P19_A9,23,0.00944559,0.6386037,numbers,major
shape_PA,33,P19_A7,22,0.00903491,0.6476386,numbers,major
shape_PA,34,P15_A7,22,0.00903491,0.65667351,numbers,major
shape_PA,35,P16_A5,21,0.00862423,0.66529774,numbers,major
shape_PA,36,P23_A9,21,0.00862423,0.67392197,numbers,major
shape_PA,37,P18_A8,20,0.00821355,0.68213552,numbers,major
shape_PA,38,P21_A8,20,0.00821355,0.69034908,numbers,major
shape_PA,39,P12_A6,20,0.00821355,0.69856263,numbers,major
shape_PA,40,P19_A8,19,0.00780287,0.7063655,numbers,major
shape_PA,41,P24_A9,18,0.0073922,0.7137577,numbers,major
shape_PA,42,P21_A9,18,0.0073922,0.7211499,numbers,major
shape_PA,43,P5_A3,18,0.0073922,0.72854209,numbers,major
shape_PA,44,P11_A3,17,0.00698152,0.73552361,numbers,major
shape_PA,45,P18_A6,17,0.00698152,0.74250513,numbers,major
shape_PA,46,P20_A7,17,0.00698152,0.74948665,numbers,major
shape_PA,47,P4_A2,16,0.00657084,0.75605749,numbers,major
shape_PA,48,P22_A8,16,0.00657084,0.76262834,numbers,major
shape_PA,49,P19_A6,14,0.00574949,0.76837782,numbers,major
shape_PA,50,P21_A7,14,0.00574949,0.77412731,numbers,major
bucket_PA,1,P25+_A8+,301,0.12361396,0.12361396,numbers,major
bucket_PA,2,P19-24_A8+,253,0.10390144,0.2275154,numbers,major
bucket_PA,3,P7-9_A3,222,0.09117043,0.31868583,numbers,major
bucket_PA,4,P10-12_A4,220,0.09034908,0.40903491,numbers,major
bucket_PA,5,P16-18_A6-7,203,0.08336756,0.49240246,numbers,major
bucket_PA,6,P13-15_A6-7,196,0.08049281,0.57289528,numbers,major
bucket_PA,7,P10-12_A5,161,0.0661191,0.63901437,numbers,major
bucket_PA,8,P13-15_A5,146,0.05995893,0.69897331,numbers,major
bucket_PA,9,P5-6_A2,100,0.04106776,0.74004107,numbers,major
bucket_PA,10,P19-24_A6-7,95,0.03901437,0.77905544,numbers,major
bucket_PA,11,P7-9_A2,93,0.03819302,0.81724846,numbers,major
bucket_PA,12,P10-12_A3,88,0.03613963,0.85338809,numbers,major
bucket_PA,13,P7-9_A4,82,0.03367556,0.88706366,numbers,major
bucket_PA,14,P5-6_A3,51,0.02094456,0.90800821,numbers,major
bucket_PA,15,P13-15_A4,48,0.01971253,0.92772074,numbers,major
bucket_PA,16,P16-18_A8+,47,0.01930185,0.94702259,numbers,major
bucket_PA,17,P16-18_A5,32,0.01314168,0.96016427,numbers,major
bucket_PA,18,P10-12_A6-7,30,0.01232033,0.9724846,numbers,major
bucket_PA,19,P1-4_A2,21,0.00862423,0.98110883,numbers,major
bucket_PA,20,P7-9_A5,18,0.0073922,0.98850103,numbers,major
bucket_PA,21,P25+_A6-7,7,0.00287474,0.99137577,numbers,major
bucket_PA,22,P13-15_A8+,6,0.00246407,0.99383984,numbers,major
bucket_PA,23,P7-9_A6-7,3,0.00123203,0.99507187,numbers,major
bucket_PA,24,P19-24_A5,2,0.00082136,0.99589322,numbers,major
bucket_PA,25,P1-4_A0-1,2,0.00082136,0.99671458,numbers,major
bucket_PA,26,P1-4_A3,2,0.00082136,0.99753593,numbers,major
bucket_PA,27,P10-12_A8+,1,0.00041068,0.99794661,numbers,major
bucket_PA,28,P5-6_A5,1,0.00041068,0.99835729,numbers,major
bucket_PA,29,P10-12_A2,1,0.00041068,0.99876797,numbers,major
bucket_PA,30,P13-15_A3,1,0.00041068,0.99917864,numbers,major
bucket_PA,31,P5-6_A0-1,1,0.00041068,0.99958932,numbers,major
bucket_PA,32,P16-18_A4,1,0.00041068,1.0,numbers,major
shape_PAW,1,P11_A4_W5,70,0.02874743,0.02874743,numbers,major
shape_PAW,2,P9_A3_W3,48,0.01971253,0.04845996,numbers,major
shape_PAW,3,P12_A5_W5,44,0.01806982,0.06652977,numbers,major
shape_PAW,4,P6_A2_W2,42,0.01724846,0.08377823,numbers,major
shape_PAW,5,P7_A3_W3,41,0.01683778,0.10061602,numbers,major
shape_PAW,6,P8_A3_W3,40,0.0164271,0.11704312,numbers,major
shape_PAW,7,P8_A3_W4,39,0.01601643,0.13305955,numbers,major
shape_PAW,8,P10_A3_W3,38,0.01560575,0.1486653,numbers,major
shape_PAW,9,P10_A4_W5,34,0.01396304,0.16262834,numbers,major
shape_PAW,10,P11_A4_W4,34,0.01396304,0.17659138,numbers,major
shape_PAW,11,P7_A2_W2,33,0.01355236,0.19014374,numbers,major
shape_PAW,12,P11_A5_W5,32,0.01314168,0.20328542,numbers,major
shape_PAW,13,P10_A4_W4,32,0.01314168,0.2164271,numbers,major
shape_PAW,14,P14_A5_W5,29,0.01190965,0.22833676,numbers,major
shape_PAW,15,P9_A3_W4,29,0.01190965,0.24024641,numbers,major
shape_PAW,16,P14_A6_W6,29,0.01190965,0.25215606,numbers,major
shape_PAW,17,P15_A6_W6,29,0.01190965,0.26406571,numbers,major
shape_PAW,18,P10_A5_W5,28,0.01149897,0.27556468,numbers,major
shape_PAW,19,P6_A3_W3,28,0.01149897,0.28706366,numbers,major
shape_PAW,20,P13_A6_W6,27,0.0110883,0.29815195,numbers,major
shape_PAW,21,P14_A5_W6,27,0.0110883,0.30924025,numbers,major
shape_PAW,22,P12_A5_W6,27,0.0110883,0.32032854,numbers,major
shape_PAW,23,P15_A6_W7,25,0.01026694,0.33059548,numbers,major
shape_PAW,24,P5_A2_W2,25,0.01026694,0.34086242,numbers,major
shape_PAW,25,P9_A4_W4,25,0.01026694,0.35112936,numbers,major
shape_PAW,26,P17_A7_W8,23,0.00944559,0.36057495,numbers,major
shape_PAW,27,P8_A4_W4,23,0.00944559,0.37002053,numbers,major
shape_PAW,28,P13_A5_W6,23,0.00944559,0.37946612,numbers,major
shape_PAW,29,P8_A2_W2,23,0.00944559,0.3889117,numbers,major
shape_PAW,30,P7_A3_W4,21,0.00862423,0.39753593,numbers,major
shape_PAW,31,P14_A6_W7,20,0.00821355,0.40574949,numbers,major
shape_PAW,32,P18_A7_W7,20,0.00821355,0.41396304,numbers,major
shape_PAW,33,P17_A6_W6,19,0.00780287,0.42176591,numbers,major
shape_PAW,34,P19_A9_W9,19,0.00780287,0.42956879,numbers,major
shape_PAW,35,P13_A5_W5,19,0.00780287,0.43737166,numbers,major
shape_PAW,36,P5_A2_W3,18,0.0073922,0.44476386,numbers,major
shape_PAW,37,P7_A2_W3,18,0.0073922,0.45215606,numbers,major
shape_PAW,38,P17_A7_W7,17,0.00698152,0.45913758,numbers,major
shape_PAW,39,P5_A3_W3,17,0.00698152,0.4661191,numbers,major
shape_PAW,40,P12_A4_W5,17,0.00698152,0.47310062,numbers,major
shape_PAW,41,P10_A3_W4,16,0.00657084,0.47967146,numbers,major
shape_PAW,42,P15_A5_W6,16,0.00657084,0.4862423,numbers,major
shape_PAW,43,P13_A4_W4,16,0.00657084,0.49281314,numbers,major
shape_PAW,44,P11_A5_W6,16,0.00657084,0.49938398,numbers,major
shape_PAW,45,P16_A6_W7,15,0.00616016,0.50554415,numbers,major
shape_PAW,46,P16_A6_W6,15,0.00616016,0.51170431,numbers,major
shape_PAW,47,P12_A4_W4,15,0.00616016,0.51786448,numbers,major
shape_PAW,48,P4_A2_W2,14,0.00574949,0.52361396,numbers,major
shape_PAW,49,P16_A7_W7,14,0.00574949,0.52936345,numbers,major
shape_PAW,50,P13_A6_W7,13,0.00533881,0.53470226,numbers,major
bucket_PAW,1,P7-9_A3_W3-4,218,0.08952772,0.08952772,numbers,major
bucket_PAW,2,P19-24_A8+_W9-12,213,0.08747433,0.17700205,numbers,major
bucket_PAW,3,P25+_A8+_W13+,177,0.07268994,0.24969199,numbers,major
bucket_PAW,4,P10-12_A5_W5-6,155,0.06365503,0.31334702,numbers,major
bucket_PAW,5,P16-18_A6-7_W7-8,143,0.0587269,0.37207392,numbers,major
bucket_PAW,6,P10-12_A4_W5-6,138,0.05667351,0.42874743,numbers,major
bucket_PAW,7,P13-15_A5_W5-6,126,0.05174538,0.48049281,numbers,major
bucket_PAW,8,P25+_A8+_W9-12,124,0.05092402,0.53141684,numbers,major
bucket_PAW,9,P13-15_A6-7_W7-8,109,0.04476386,0.5761807,numbers,major
bucket_PAW,10,P13-15_A6-7_W5-6,85,0.0349076,0.6110883,numbers,major
bucket_PAW,11,P10-12_A4_W3-4,81,0.03326489,0.64435318,numbers,major
bucket_PAW,12,P10-12_A3_W3-4,73,0.02997947,0.67433265,numbers,major
bucket_PAW,13,P5-6_A2_W1-2,67,0.0275154,0.70184805,numbers,major
bucket_PAW,14,P7-9_A2_W1-2,59,0.02422998,0.72607803,numbers,major
bucket_PAW,15,P7-9_A4_W3-4,58,0.0238193,0.74989733,numbers,major
bucket_PAW,16,P19-24_A6-7_W7-8,58,0.0238193,0.77371663,numbers,major
bucket_PAW,17,P5-6_A3_W3-4,51,0.02094456,0.79466119,numbers,major
bucket_PAW,18,P16-18_A6-7_W5-6,41,0.01683778,0.81149897,numbers,major
bucket_PAW,19,P16-18_A8+_W9-12,37,0.01519507,0.82669405,numbers,major
bucket_PAW,20,P7-9_A2_W3-4,34,0.01396304,0.84065708,numbers,major
bucket_PAW,21,P5-6_A2_W3-4,33,0.01355236,0.85420945,numbers,major
bucket_PAW,22,P19-24_A8+_W7-8,29,0.01190965,0.8661191,numbers,major
bucket_PAW,23,P13-15_A4_W5-6,28,0.01149897,0.87761807,numbers,major
bucket_PAW,24,P19-24_A6-7_W9-12,28,0.01149897,0.88911704,numbers,major
bucket_PAW,25,P7-9_A4_W5-6,24,0.00985626,0.89897331,numbers,major
bucket_PAW,26,P1-4_A2_W1-2,19,0.00780287,0.90677618,numbers,major
bucket_PAW,27,P16-18_A6-7_W9-12,19,0.00780287,0.91457906,numbers,major
bucket_PAW,28,P13-15_A5_W7-8,19,0.00780287,0.92238193,numbers,major
bucket_PAW,29,P7-9_A5_W5-6,18,0.0073922,0.92977413,numbers,major
bucket_PAW,30,P13-15_A4_W3-4,17,0.00698152,0.93675565,numbers,major
bucket_PAW,31,P16-18_A5_W5-6,17,0.00698152,0.94373717,numbers,major
bucket_PAW,32,P10-12_A6-7_W5-6,16,0.00657084,0.95030801,numbers,major
bucket_PAW,33,P10-12_A3_W5-6,15,0.00616016,0.95646817,numbers,major
bucket_PAW,34,P16-18_A5_W7-8,14,0.00574949,0.96221766,numbers,major
bucket_PAW,35,P10-12_A6-7_W7-8,14,0.00574949,0.96796715,numbers,major
bucket_PAW,36,P19-24_A8+_W13+,11,0.00451745,0.9724846,numbers,major
bucket_PAW,37,P16-18_A8+_W7-8,10,0.00410678,0.97659138,numbers,major
bucket_PAW,38,P19-24_A6-7_W5-6,9,0.0036961,0.98028747,numbers,major
bucket_PAW,39,P25+_A6-7_W7-8,7,0.00287474,0.98316222,numbers,major
bucket_PAW,40,P10-12_A5_W7-8,6,0.00246407,0.98562628,numbers,major
bucket_PAW,41,P13-15_A8+_W7-8,5,0.00205339,0.98767967,numbers,major
bucket_PAW,42,P7-9_A3_W5-6,4,0.00164271,0.98932238,numbers,major
bucket_PAW,43,P13-15_A4_W7-8,3,0.00123203,0.99055441,numbers,major
bucket_PAW,44,P7-9_A6-7_W5-6,2,0.00082136,0.99137577,numbers,major
bucket_PAW,45,P13-15_A6-7_W9-12,2,0.00082136,0.99219713,numbers,major
bucket_PAW,46,P1-4_A0-1_W1-2,2,0.00082136,0.99301848,numbers,major
