book,model,relation,reset_taamim,n_words,n_pulses,n_accents,n_intervals,unique_intervals,mean_interval,median_interval,entropy_norm,top1_interval,top1_share,top3_intervals,top3_share,top5_intervals,top5_share,null_model,null_top3_mean,null_top3_sd,top3_z,top3_empirical_p,top3_empirical_p_tail,null_entropy_mean,null_entropy_sd,entropy_z,entropy_empirical_p,entropy_empirical_p_tail
numbers,continuous,continuous,none,16404,37184,14464,14463,8,2.570767,2,0.68536449,2,0.38518979,2+3+1,0.83530388,2+3+1+4+5,0.989283,not_applicable_distribution_preserved,,,,,,,,,,
numbers,sof_only,within,sof_pasuq,16404,37184,14464,13180,8,2.559332,2.0,0.68348769,2,0.3939302,2+3+1,0.83778452,2+3+1+4+5,0.98892261,cyclic_shift,0.83531973,0.00094878,2.597843,0.01397206,upper,0.6852959,0.00088032,-2.054046,0.03393214,lower
numbers,sof_only,cross_reset,sof_pasuq,16404,37184,14464,1283,7,2.688231,3,0.74087607,3,0.3826968,3+2+4,0.81917381,3+2+4+1+5,0.99298519,cyclic_shift,0.83600312,0.00901807,-1.866175,0.9740519,upper,0.71975384,0.02600204,0.81233,0.88423154,lower
numbers,sof_only,all,sof_pasuq,16404,37184,14464,14463,8,2.570767,2,0.68536449,2,0.38518979,2+3+1,0.83530388,2+3+1+4+5,0.989283,not_applicable_distribution_preserved,,,,,,,,,,
numbers,major,within,atnah+atnah_hafukh+sof_pasuq,16404,37184,14464,12029,8,2.561643,2,0.68049553,2,0.39970072,2+3+1,0.83947128,2+3+1+4+5,0.98861086,cyclic_shift,0.83528938,0.00142007,2.944853,0.00798403,upper,0.68535583,0.0012758,-3.809606,0.00199601,lower
numbers,major,cross_reset,atnah+atnah_hafukh+sof_pasuq,16404,37184,14464,2434,7,2.615859,3.0,0.75028251,3,0.34593262,3+2+1,0.8147083,3+2+1+4+5,0.99260477,cyclic_shift,0.83565242,0.00663518,-3.156528,0.99800399,upper,0.70766145,0.02404141,1.772819,0.99401198,lower
numbers,major,all,atnah+atnah_hafukh+sof_pasuq,16404,37184,14464,14463,8,2.570767,2,0.68536449,2,0.38518979,2+3+1,0.83530388,2+3+1+4+5,0.989283,not_applicable_distribution_preserved,,,,,,,,,,
numbers,major_minor,within,atnah+atnah_hafukh+paseq+revia+shalshelet+sof_pasuq+zaqef_gadol+zaqef_qatan,16404,37184,14464,9969,8,2.55472,2,0.6706682,2,0.41017153,2+3+1,0.84441769,2+3+1+4+5,0.99057077,cyclic_shift,0.83522901,0.00220151,4.173814,0.00199601,upper,0.68566644,0.00454452,-3.300294,0.00199601,lower
numbers,major_minor,cross_reset,atnah+atnah_hafukh+paseq+revia+shalshelet+sof_pasuq+zaqef_gadol+zaqef_qatan,16404,37184,14464,4494,8,2.606364,3.0,0.71248687,2,0.32977303,2+3+1,0.81508678,2+3+1+4+5,0.98642635,cyclic_shift,0.83552915,0.00479872,-4.259962,1.0,upper,0.69469355,0.0186951,0.951764,0.79640719,lower
numbers,major_minor,all,atnah+atnah_hafukh+paseq+revia+shalshelet+sof_pasuq+zaqef_gadol+zaqef_qatan,16404,37184,14464,14463,8,2.570767,2,0.68536449,2,0.38518979,2+3+1,0.83530388,2+3+1+4+5,0.989283,not_applicable_distribution_preserved,,,,,,,,,,
