cadence_node,rank,predecessor,count,share_of_cadence_predecessors,book,run_label,stream_type
atnah,1,tipeha,651,0.56559513,numbers,control_exclude_meteg,full
atnah,2,munah,499,0.43353606,numbers,control_exclude_meteg,full
paseq,1,munah,68,0.85,numbers,control_exclude_meteg,full
paseq,2,merkha,6,0.075,numbers,control_exclude_meteg,full
revia,1,munah,265,0.5331992,numbers,control_exclude_meteg,full
revia,2,geresh,69,0.138833,numbers,control_exclude_meteg,full
revia,3,sof_pasuq,54,0.10865191,numbers,control_exclude_meteg,full
revia,4,atnah,51,0.10261569,numbers,control_exclude_meteg,full
revia,5,segol,17,0.03420523,numbers,control_exclude_meteg,full
revia,6,paseq,16,0.03219316,numbers,control_exclude_meteg,full
revia,7,gershayim,15,0.03018109,numbers,control_exclude_meteg,full
revia,8,zaqef_qatan,10,0.02012072,numbers,control_exclude_meteg,full
sof_pasuq,1,tipeha,770,0.59968847,numbers,control_exclude_meteg,full
sof_pasuq,2,merkha,511,0.39797508,numbers,control_exclude_meteg,full
zaqef_gadol,1,zaqef_qatan,45,0.35714286,numbers,control_exclude_meteg,full
zaqef_gadol,2,atnah,44,0.34920635,numbers,control_exclude_meteg,full
zaqef_gadol,3,sof_pasuq,35,0.27777778,numbers,control_exclude_meteg,full
zaqef_qatan,1,munah,796,0.58658806,numbers,control_exclude_meteg,full
zaqef_qatan,2,pashta,496,0.36551216,numbers,control_exclude_meteg,full
zaqef_qatan,3,qadma,31,0.02284451,numbers,control_exclude_meteg,full
zaqef_qatan,4,yetiv,13,0.00957996,numbers,control_exclude_meteg,full
zaqef_qatan,5,atnah,8,0.00589536,numbers,control_exclude_meteg,full
zaqef_qatan,6,sof_pasuq,7,0.00515844,numbers,control_exclude_meteg,full
zaqef_qatan,7,zaqef_qatan,6,0.00442152,numbers,control_exclude_meteg,full
