book,model,relation,reset_taamim,n_words,n_pulses,n_accents,n_intervals,unique_intervals,mean_interval,median_interval,entropy_norm,top1_interval,top1_share,top3_intervals,top3_share,top5_intervals,top5_share,null_model,null_top3_mean,null_top3_sd,top3_z,top3_empirical_p,top3_empirical_p_tail,null_entropy_mean,null_entropy_sd,entropy_z,entropy_empirical_p,entropy_empirical_p_tail
genesis,continuous,continuous,none,20596,45729,18129,18128,8,2.522341,2.0,0.66723706,2,0.40175419,2+3+1,0.85012136,2+3+1+4+5,0.99282877,not_applicable_distribution_preserved,,,,,,,,,,
genesis,sof_only,within,sof_pasuq,20596,45729,18129,16599,8,2.506115,2,0.66612726,2,0.40809687,2+3+1,0.85270197,2+3+1+4+5,0.99277065,global_interval_shuffle,0.85015676,0.00086139,2.954772,0.00598802,upper,0.66718407,0.00079991,-1.321158,0.08782435,lower
genesis,sof_only,cross_reset,sof_pasuq,20596,45729,18129,1529,7,2.698496,3,0.71248788,3,0.3911053,3+2+4,0.85938522,3+2+4+1+5,0.99345978,global_interval_shuffle,0.85014781,0.00883966,1.044996,0.14171657,upper,0.70499779,0.02829542,0.26471,0.61876248,lower
genesis,sof_only,all,sof_pasuq,20596,45729,18129,18128,8,2.522341,2.0,0.66723706,2,0.40175419,2+3+1,0.85012136,2+3+1+4+5,0.99282877,not_applicable_distribution_preserved,,,,,,,,,,
genesis,major,within,atnah+atnah_hafukh+sof_pasuq,20596,45729,18129,15133,8,2.500231,2,0.6627226,2,0.41260821,2+3+1,0.85515099,2+3+1+4+5,0.9931276,global_interval_shuffle,0.85015529,0.00122502,4.078047,0.00199601,upper,0.66727169,0.00230913,-1.970043,0.00199601,lower
genesis,major,cross_reset,atnah+atnah_hafukh+sof_pasuq,20596,45729,18129,2995,7,2.634057,3,0.73133542,3,0.35358932,3+2+4,0.83105175,3+2+4+1+5,0.99131886,global_interval_shuffle,0.84998197,0.0061351,-3.08556,1.0,upper,0.690665,0.02318539,1.75414,0.99401198,lower
genesis,major,all,atnah+atnah_hafukh+sof_pasuq,20596,45729,18129,18128,8,2.522341,2.0,0.66723706,2,0.40175419,2+3+1,0.85012136,2+3+1+4+5,0.99282877,not_applicable_distribution_preserved,,,,,,,,,,
genesis,major_minor,within,atnah+atnah_hafukh+paseq+revia+shalshelet+sof_pasuq+zaqef_gadol+zaqef_qatan,20596,45729,18129,12382,8,2.489259,2.0,0.64983719,2,0.42432563,2+3+1,0.86310774,2+3+1+4+5,0.99458892,global_interval_shuffle,0.85013326,0.0019355,6.703417,0.00199601,upper,0.66763527,0.00485245,-3.667855,0.00199601,lower
genesis,major_minor,cross_reset,atnah+atnah_hafukh+paseq+revia+shalshelet+sof_pasuq+zaqef_gadol+zaqef_qatan,20596,45729,18129,5746,7,2.59363,3.0,0.74757779,2,0.35311521,2+3+1,0.82213714,2+3+1+4+5,0.98903585,global_interval_shuffle,0.85009572,0.0041708,-6.703415,1.0,upper,0.67682994,0.01869428,3.784464,1.0,lower
genesis,major_minor,all,atnah+atnah_hafukh+paseq+revia+shalshelet+sof_pasuq+zaqef_gadol+zaqef_qatan,20596,45729,18129,18128,8,2.522341,2.0,0.66723706,2,0.40175419,2+3+1,0.85012136,2+3+1+4+5,0.99282877,not_applicable_distribution_preserved,,,,,,,,,,
exodus,continuous,continuous,none,16701,37520,14626,14625,8,2.565402,2,0.67269458,2,0.40423932,2+3+4,0.8365812,2+3+4+1+5,0.99186325,not_applicable_distribution_preserved,,,,,,,,,,
exodus,sof_only,within,sof_pasuq,16701,37520,14626,13421,8,2.548245,2,0.67035686,2,0.40980553,2+3+1,0.84188958,2+3+1+4+5,0.99172938,global_interval_shuffle,0.83700767,0.00077507,6.298673,0.00199601,upper,0.67299976,0.00362535,-0.729007,0.01197605,lower
exodus,sof_only,cross_reset,sof_pasuq,16701,37520,14626,1204,6,2.756645,3.0,0.79690567,3,0.34302326,3+2+4,0.85714286,3+2+4+1+5,0.99335548,global_interval_shuffle,0.84230565,0.00852745,1.739935,0.04590818,upper,0.72466473,0.03229738,2.236743,0.99800399,lower
exodus,sof_only,all,sof_pasuq,16701,37520,14626,14625,8,2.565402,2,0.67269458,2,0.40423932,2+3+4,0.8365812,2+3+4+1+5,0.99186325,not_applicable_distribution_preserved,,,,,,,,,,
