from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P5-6_A5_C0,P<=4_A0-1_C0,51,0.12085308,0.07918552,1.52620176,33.434,5.49308583,3.197838,0.00199601,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,accent_words
P<=4_A0-1_C0,P<=4_A3_C0,188,0.41318681,0.34597981,1.19425122,157.638,9.75383158,3.112828,0.00199601,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A3_C0,524,0.37943519,0.34597981,1.09669749,478.346,16.64392756,2.742982,0.00598802,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P<=4_A0-1_C0,182,0.0915493,0.07918552,1.15613682,157.432,9.42927348,2.605503,0.00998004,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P5-6_A3_C0,37,0.02679218,0.01914375,1.39952604,26.424,4.38253777,2.413214,0.01996008,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,accent_words
P5-6_A6-7_C0,P<=4_A2_C0,35,0.31531532,0.24034111,1.31194917,27.076,4.03966109,1.961551,0.03193613,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,accent_words
P5-6_A5_C0,P<=4_A2_C0,116,0.27488152,0.24034111,1.14371412,101.412,8.40807037,1.735,0.05389222,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,accent_words
P<=4_A0-1_C0,P<=4_A4_C0,58,0.12747253,0.10476853,1.21670622,47.57,6.08532352,1.71396,0.05588822,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,accent_words
P<=4_A4_C0,P5-6_A6-7_C0,17,0.0282392,0.01931779,1.46182395,11.586,3.20923704,1.687005,0.0758483,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,accent_words
P5-6_A3_C0,P<=4_A2_C0,33,0.3,0.24034111,1.24822592,26.282,4.26695322,1.574426,0.08383234,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,accent_words
P5-6_A4_C0,P5-6_A5_C0,35,0.08997429,0.07344239,1.22510021,28.666,4.87750182,1.298616,0.10578842,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,accent_words
P<=4_A0-1_C0,P5-6_A5_C0,40,0.08791209,0.07344239,1.19702099,33.396,5.50561601,1.199502,0.1237525,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,accent_words
P5-6_A5_C0,P<=4_A4_C0,50,0.11848341,0.10476853,1.13090646,44.138,5.61730043,1.043562,0.15369261,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,accent_words
P<=4_A4_C0,P<=4_A4_C0,70,0.11627907,0.10476853,1.10986634,62.586,7.17925396,1.032698,0.18163673,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,accent_words
P5-6_A5_C0,P5-6_A5_C0,36,0.08530806,0.07344239,1.16156421,30.868,5.15905104,0.994757,0.17964072,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,accent_words
P5-6_A4_C0,P<=4_A0-1_C0,35,0.08997429,0.07918552,1.13624679,30.76,5.11181585,0.829451,0.23353293,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,accent_words
P<=4_A4_C0,P5-6_A5_C0,49,0.08139535,0.07344239,1.10828833,44.464,5.96622961,0.760279,0.22954092,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,accent_words
P5-6_A4_C0,P<=4_A2_C0,100,0.25706941,0.24034111,1.06960233,94.086,8.20495256,0.720784,0.24550898,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,accent_words
P5-6_A4_C0,P5-6_A4_C0,29,0.07455013,0.06769927,1.10119547,26.166,5.07523004,0.558398,0.29341317,upper,screening_selected_transition,genesis,minor,transition_bucket_shape,accent_words
